GA Optimized Iteration Report (High-Cost Mode)
Total GA Iters: 16 | Local Search: Yes | Final Best Cost: 43083.711457
--------------------------------------------------------------------------------
Iter   Best_Cost       Avg_Cost        Time(m)    Selected_IDs                  
1      43155.6762      43461.0737      77.63      -1, -17, -9, -5, -21, -13     
2      43155.6762      43408.6822      38.73      -1, -17, -9, -5, -21, -13     
3      43155.6762      43427.7604      38.77      -1, -17, -9, -5, -21, -13     
4      43095.1278      43430.7938      38.74      -17, -9, -2, -21, -13, -8     
5      43095.1278      43410.3067      38.77      -17, -9, -2, -21, -13, -8     
6      43095.1278      43410.3067      0.00       -17, -9, -2, -21, -13, -8     
7      43095.1278      43401.1146      38.78      -17, -9, -2, -21, -13, -8     
8      43095.1278      43395.3045      38.73      -17, -9, -2, -21, -13, -8     
9      43095.1278      43422.2355      38.76      -17, -9, -2, -21, -13, -8     
10     43095.1278      43422.7845      38.85      -17, -9, -2, -21, -13, -8     
11     43095.1278      43422.7845      0.00       -17, -9, -2, -21, -13, -8     
12     43083.7115      43408.1650      38.77      -17, -1, -9, -21, -5, -15     
13     43083.7115      43401.5498      19.39      -17, -1, -9, -21, -5, -15     
14     43083.7115      43401.5498      0.00       -17, -1, -9, -21, -5, -15     
15     43083.7115      43402.2568      38.76      -17, -1, -9, -21, -5, -15     
--------------------------------------------------------------------------------
Final Solution Map: {-17=1, -1=1, -9=1, -21=1, -5=1, -15=1}
